Фанди С744/21,82 500 сом,"
			Двухместный очаровательный диванчик «Фанди» станет милым, уютным акцентом в комнате. Эта модель просто создана для небольших пространств. Современный стиль дивана с привкусом ретро не оставит никого равнодушным и примет каждого в свои тёплые, мягкие объятия.
Мал, да удал! Девять позиций трансформации подлокотника и мягкие подушки размерами 43х43см и 55х70см создадут персональный комфорт. А если появилось желание прилечь на диван днём, то достаточно опустить подлокотники до крайнего горизонтального положения, увеличив при этом длину сидения до 205 см. Кроме того, «Фанди» с лёгкостью превращается в удобную кровать для двоих. Современный механизм трансформации «пума» раскрывается над поверхностью пола и подходит для ежедневного использования. 
	"
Софт,103 700 сом,"
			«Софт» - элегантный, стильный, комфортный. В его лаконичном исполнении нет ничего лишнего. Но есть выдающиеся особенности: высокая спинка с эргономичным изгибом; узкие подлокотники с встроенным многопозиционным механизмом трансформации; высокие опоры из массива дерева.
Механизм трансформации спального места «пума» позволяет сохранить напольное покрытие: сиденье не выкатывается вперед, а плавно «шагает» по воздуху и встает на опоры. Никаких царапин и смятых ковров.
Небольшие декоративные подушки в комплекте служат ярким акцентом и придают дивану выразительный вид.
Задняя стенка дивана зашита основной тканью.
Модельный ряд «Софт» включает в себя диван-кровать угловой, диван линейный, диван-кровать линейный, кресло и пуф. 
	"
Фабьен  Velutto 20,78 900 сом,"
			Достоинства дивана «Фабьен»:

- небольшие размеры;

- «шагающий» механизм трансформации легко превращает диван в комфортную кровать;

- прекрасный законченный вид сзади — диваном можно смело зонировать пространство;

- есть вместительный ящик для хранения постельных принадлежностей;

- высокие ножки и лёгкая уборка под диваном.

Благодаря механизму трансформации «Тик-так» всего за несколько легких движений: перемещением сидения вперед и переводом спинки в горизонтальное положение, вы превратите диван в удобную кровать.
Обратите внимание: для трансформации дивана в спальное место требуется наличие зазора от стены до спинки 2 см. 
	"
Арти slim  Maserati 21,53 800 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Узкие подлокотники созданы для ограничения предельных габаритов мебели. Это означает, что диван органично впишется в заданное пространство. 
	"
Арти slim  Vital Apple,51 900 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Узкие подлокотники созданы для ограничения предельных габаритов мебели. Это означает, что диван органично впишется в заданное пространство. 
	"
Арти 2  Kashemir 810,53 500 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Наполнение дивана – блок независимых пружин и высокоэластичный ППУ - обеспечивает равномерное распределение нагрузки, поэтому диван прослужит долго и сохранит свою форму. Надежный механизм «Еврософа» обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек. 
	"
Арти slim Vital Caramel,51 900 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Узкие подлокотники созданы для ограничения предельных габаритов мебели. Это означает, что диван органично впишется в заданное пространство. 
	"
Арти 2  Kashemir 890,53 500 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Наполнение дивана – блок независимых пружин и высокоэластичный ППУ - обеспечивает равномерное распределение нагрузки, поэтому диван прослужит долго и сохранит свою форму. Надежный механизм «Еврософа» обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек. 
	"
Арти 2  Kashemir 894,53 500 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Наполнение дивана – блок независимых пружин и высокоэластичный ППУ - обеспечивает равномерное распределение нагрузки, поэтому диван прослужит долго и сохранит свою форму. Надежный механизм «Еврософа» обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек. 
	"
 Арно Atlanta Lilac,59 500 сом,"
			В основании сиденья и спинки жесткие щиты, настил из высокоэластичного пенополиуретана высотой 140 мм. Диван удобно раскладывать благодаря простому и надежному механизму трансформации. Спальные принадлежности легко помещаются в бельевой ящик из ламинированного ДСП. Варианты обивки дивана — ткань, натуральная или искусственная кожа. Декоративные опоры из древесины твердых пород цвета венге, орех или махагон. На сиденье двойные отделочные строчки и утяжки. 
	"
